upperx,uppery
5.8863,-11.01012
6.08786,-10.65599
6.35659,-10.20068
6.67571,-9.75548
6.94444,-9.44182
7.24677,-9.19899
7.41473,-9.0371
7.78424,-8.57167
8.08656,-8.10624
8.40568,-7.66105
8.59044,-7.42833
8.82558,-7.23609
9.07752,-7.11467
9.37984,-7.06408
9.71576,-7.0742
10.05168,-7.12479
10.32041,-7.20573
10.52196,-7.32715
10.72351,-7.48904
10.90827,-7.72175
11.04264,-7.96459
11.1938,-8.26813
11.31137,-8.56155
11.42894,-8.9258
11.51292,-9.2597
11.6137,-9.69477
11.69767,-10.06914
11.76486,-10.44351
11.81525,-10.69646
11.84884,-11
